player,school,gp,mpg,bpm,class,birthdate,pick
Brandyn Talbot,UT Arlington,29,19.8645,-2.10547,Sr,2001-01-20,
Abdou Tsimbila,Fordham,32,19.5576,-1.67356,Sr,2000-06-15,
Joey Madimba,Idaho St.,4,1.6750,-30.4139,So,2001-07-28,
Leo Colimerio,Queens,33,29.3543,1.16678,Sr,2001-03-09,
Braxton Meah,Nebraska,29,13.3621,2.95658,Sr,2001-10-15,
Alex Andrews,Florida A&M,1,1.2000,-7.23459,Sr,2001-10-15,
CJ Huntley,Appalachian St.,29,33.5806,1.39605,Sr,2002-01-06,
Tramon Mark,Texas,29,26.9241,2.72805,Sr,2001-09-30,
Max Murrell,UC Santa Barbara,30,18.9484,0.0959558,Sr,2001-10-15,
Michael O'Connell,N.C. State,31,29.4968,0.718125,Sr,2001-02-23,
Daniel Foster,Nevada,18,22.0222,0.725957,Sr,2001-08-16,
Eddie Lampkin,Syracuse,33,29.9576,4.95385,Sr,2001-05-14,
Jordan Ivy-Curry,UCF,34,29.1794,3.68115,Sr,2002-03-14,
Davion Bradford,East Tennessee St.,23,10.9400,-7.03595,Sr,2001-08-03,
Caleb Dorsey,William & Mary,22,18.1304,0.46009,Sr,2001-05-16,
Jalen Terry,Eastern Michigan,30,37.5323,0.466779,Sr,2001-10-15,
Joshua O'Garro,Texas St.,30,30.1219,0.628566,Sr,2001-10-15,
Myles Foster,Clemson,28,5.8893,1.29955,Sr,2001-02-07,
Lance Ware,UT Arlington,26,32.5423,1.29094,Sr,2001-02-08,
Jakari Spence,Jacksonville,31,27.4625,-2.378,Sr,2001-12-20,
Ty Berry,Northwestern,33,29.2000,4.25516,Sr,2001-10-12,
Cam'Ron Fletcher,Xavier,11,4.1636,7.13667,Sr,2001-07-10,
Kentrell Garnett,Louisiana,32,34.2515,-0.954536,Sr,2002-05-01,
Judah Brown,South Alabama,30,21.3062,-0.501746,Sr,2002-04-12,
Nate Heise,Iowa St.,35,21.6600,6.89064,Sr,2002-04-11,
Jarren Cook,UT Arlington,6,4.4167,-7.57255,Jr,2001-10-15,
Justin Hill,Wichita St.,28,25.0679,-0.486224,Sr,2001-10-19,
Chaunce Jenkins,Seton Hall,18,27.2611,-0.33536,Sr,2002-04-20,
Brandon Stroud,South Florida,30,23.8194,1.36147,Sr,2002-04-29,
Niko Rocak,UC Davis,30,24.9438,4.81558,Sr,2001-02-21,
John Hugley IV,Xavier,34,9.8794,-1.79971,Sr,2001-11-29,
Noah Collier,William & Mary,20,19.4909,1.24382,Sr,2001-12-09,
Femi Odukale,Minnesota,32,29.5031,3.33482,Sr,2001-01-21,
Colin Granger,Coastal Carolina,29,17.8000,-4.25166,Sr,2001-10-15,
Jalin Anderson,Incarnate Word,30,33.0382,-1.42856,Sr,2001-10-15,
Christian Shumate,McNeese St.,33,27.5914,5.15013,Sr,2002-07-24,
Ari Seals,Tulsa,9,3.1636,-6.88054,Sr,2001-10-15,
Woody Newton,George Mason,34,22.0457,2.11569,Sr,2001-09-20,
Sam Mervis,Southern Indiana,11,5.8615,-15.1495,Sr,2001-10-15,
Alex Tchikou,Detroit Mercy,1,2.2500,-45.5983,Sr,2002-03-30,
Jace Howard,Michigan,5,3.8200,-8.1291,Sr,2001-09-19,
Max Burchill,South Dakota,30,21.2303,-0.507965,Sr,2001-10-15,
William Jeffress,Louisiana Tech,2,24.4333,6.87963,Sr,2003-06-03,
Mawot Mag,BYU,34,19.2824,6.20345,Sr,2001-05-04,
Kobe Elvis,Oklahoma,34,23.6294,1.15947,Sr,2001-03-16,
Myles Wilmoth,Siena,28,16.3571,-0.730144,Sr,2001-10-15,
Chuck Harris,SMU,35,27.2429,2.46772,Sr,2001-09-21,
Boubacar Coulibaly,Pepperdine,33,26.5147,4.25338,Sr,1999-12-12,
Kyndall Davis,Louisiana,27,20.2643,-0.755444,Sr,2001-10-15,
Marty Silvera,Tarleton St.,10,14.7364,-2.72951,Sr,2000-07-27,
Bryce Pope,USC,14,6.3071,-1.31019,Sr,2001-06-23,
Brandon Noel,Wright St.,31,33.8909,1.56431,Jr,2001-10-15,
Alex Huibregtse,Wright St.,30,33.7500,-1.22986,Sr,2001-10-15,
Eduardo Andre,West Virginia,31,16.9968,8.61406,Sr,2001-05-17,
Dain Dainja,Memphis,35,27.1657,4.88859,Sr,2002-07-16,
Noble Crawford,Chicago St.,30,25.9267,-2.96827,Jr,2001-10-15,
Lu'cye Patterson,Minnesota,32,33.2156,0.652534,Sr,2001-12-23,
Nelly Joseph,New Mexico,34,31.2514,5.86491,Sr,2001-11-20,
LJ Cryer,Houston,40,32.6600,8.39849,Sr,2001-10-09,
Xavier Lipscomb,Mount St. Mary's,35,33.5333,-1.96549,Sr,2001-10-15,
Dawson Baker,BYU,36,16.6889,3.57285,Jr,2001-10-15,
Isaiah Wilson,Winthrop,30,11.8273,-4.43976,Sr,2000-10-22,
Sam Towns,Bowling Green,5,26.0833,1.31904,Sr,2001-10-15,
Zaakir Sawyer,Prairie View A&M,30,15.7581,-2.90336,Sr,2001-10-15,
Zed Key,Dayton,32,19.1969,2.54956,Sr,2002-04-04,
Jackson Young,SMU,7,0.8143,9.77422,Sr,2001-10-15,
Cameron Matthews,Mississippi St.,34,29.4206,7.83535,Sr,2001-12-23,
Tony Toney,UAB,36,26.0838,1.89758,Sr,2002-06-20,
Chaz Lanier,Tennessee,38,31.3711,4.54763,Sr,2001-12-19,37
Jacob Crews,Missouri,33,12.9273,2.19097,Sr,2001-10-15,
Corey McKeithan,La Salle,32,34.4212,0.267474,Sr,2001-08-07,
Desmond Polk,SIU Edwardsville,31,29.5971,-2.93738,Sr,2001-10-15,
Paris Dawson,Seattle,28,25.6633,1.33249,Sr,2001-10-15,
Keith Lamar,Stephen F. Austin,25,16.2429,-6.28189,Sr,2001-10-15,
Te'Jon Sawyer,Montana,31,23.9500,1.48725,Sr,2001-10-15,
Shamir Bogues,Vermont,27,29.0750,1.32164,Sr,2002-08-14,
"Carlton Linguard, Jr.",San Francisco,34,21.9771,3.37749,Sr,2001-07-24,
Jabe Mullins,Montana St.,32,26.2818,1.65393,Sr,2001-10-15,
Steven Crowl,Wisconsin,37,25.6027,8.28962,Sr,2001-07-01,
Mitchell Saxen,Saint Mary's,34,29.9457,9.76218,Sr,2001-09-05,
KJ McClurg,Longwood,19,18.2364,-2.67025,Jr,2001-10-15,
Jace Roquemore,Vermont,25,22.7519,-2.66219,Sr,2001-10-15,
Donavan Yap Jr.,San Jose St.,32,30.1118,-0.596979,Sr,2002-04-21,
D'Maurian Williams,High Point,30,26.6625,2.74478,Sr,2001-07-03,
Jamaine Mann,Gardner Webb,30,29.0967,-1.79599,Sr,2002-07-17,
Phillip Russell,VCU,33,23.1176,1.77197,Sr,2001-10-11,
Trey Hall,Maryland Eastern Shore,12,15.1583,-10.513,Sr,2001-10-15,
Marques Warrick,Missouri,33,13.5333,4.96166,Sr,2002-01-19,
Darrick Jones Jr.,Le Moyne,29,21.4355,-6.04275,Sr,2001-10-15,
Matt Zona,Fordham,32,16.7364,1.98592,Sr,2001-10-15,
Trey Robinson,Northern Kentucky,31,30.6333,1.61857,Sr,2001-10-15,
Jordan Sears,LSU,32,26.0844,2.55746,Sr,2001-09-05,
Garrett Hien,Furman,32,22.5000,-0.898651,Sr,1999-08-13,
Jaelen McGlone,Central Connecticut,15,12.9200,-1.94635,Sr,2001-10-15,
Drew Thelwell,Iowa,29,25.3897,4.03031,Sr,2002-05-22,
Johni Broome,Auburn,36,30.2306,13.718,Sr,2002-07-19,35
Lawrence Foreman,Maryland Eastern Shore,2,12.3500,-15.496,Sr,2001-10-15,
Kasen Jennings,South Florida,30,24.6129,-4.1159,Sr,2001-10-15,
R.J. Blakney,Old Dominion,32,23.7029,-0.68697,Sr,2000-06-08,
Juhlawnei Stone,Stephen F. Austin,28,18.5548,-0.748592,Sr,2001-10-15,
Trey Thomas,Bowling Green,24,30.3346,-3.07428,Sr,2001-10-15,
Churchilll Bounds,Wagner,17,10.5722,-6.25391,Sr,2001-12-27,
Carter Gilmore,Wisconsin,37,19.0838,6.94291,Sr,2001-10-15,
Donovan Williams,Western Michigan,27,27.5750,-1.71699,Sr,2001-03-10,
Jaron Pierre Jr.,Jacksonville St.,33,37.5583,1.68223,Sr,2002-07-12,58
Isaiah Addo-Ankrah,Denver,29,22.8687,-1.33,Sr,2001-08-01,
Malik Henry,UNC Greensboro,28,15.8806,4.93041,Sr,2001-09-12,
Kasean Pryor,Louisville,7,23.2429,7.58677,Sr,2001-01-05,
Mady Sissoko,California,32,26.9594,3.22381,Sr,2000-12-20,
Eric Lee,Alabama A&M,7,10.8500,-5.71533,Sr,2001-10-15,
Jamie Bergens,Fairfield,31,31.9969,-4.46861,Sr,2001-12-15,
Tanner Christensen,Hawaii,29,25.0581,2.39709,Sr,2000-02-14,
Burke Smith,Pacific,25,8.7963,-7.64739,Sr,2001-10-15,
Mark Sears,Alabama,37,32.2649,6.01442,Sr,2002-02-19,
Posh Alexander,Dayton,29,19.0138,1.26585,Sr,2001-03-31,
Aidan Carpenter,Sacred Heart,8,27.7125,-6.67,Sr,2001-10-15,
Jaemyn Brakefield,Mississippi,36,23.2861,6.42098,Sr,2000-12-19,
J'Vonne Hadley,Louisville,35,33.0457,6.04291,Sr,2002-04-03,
Matt Cross,SMU,34,29.4412,6.32717,Sr,2001-02-21,
Darius Burford,UT Arlington,29,27.0935,-2.80947,Sr,2001-10-15,
Keegan Harvey,George Washington,6,1.7000,-25.2835,Sr,2001-09-05,
Earl Timberlake,Bryant,32,35.9212,3.38523,Sr,2000-11-04,
Michael Graham,Hofstra,31,22.2576,1.287,Sr,2000-09-01,
Kylen Milton,Murray St.,32,28.4545,1.09009,Sr,2001-07-05,
Keshawn Williams,Colorado St.,36,13.5556,-0.21277,Sr,2001-10-15,
Rubin Jones,Michigan,33,21.5939,3.85067,Sr,2001-10-15,
Shemar Rathan-Mayes,Mercyhurst,28,29.7500,-5.07478,Sr,2001-07-17,
Brantly Stevenson,Cal Baptist,27,10.7593,-1.23072,Sr,2001-10-15,
Steven Ashworth,Creighton,35,36.0457,5.19917,Sr,2000-05-01,
Alijah Martin,Florida,38,30.4000,8.38395,Sr,2001-12-26,39
VonCameron Davis,Kent St.,33,29.3486,0.739818,Sr,2001-10-26,
TJ Bamba,Oregon,35,27.9886,4.75434,Sr,2001-01-06,
Josh Morgan,Stonehill,16,25.7111,-6.81874,Sr,2001-10-15,
Martel Williams,Cal Baptist,29,22.1621,-0.966747,Jr,2001-10-15,
Justin Vander Baan,Lafayette,28,29.8250,5.07302,Sr,2001-10-15,
Lazar Grbovic,Eastern Illinois,21,7.8304,-10.5183,Jr,2000-10-29,
Lado Laku,Northwestern St.,17,11.5278,1.89962,Sr,2001-10-15,
A.J. Staton-McCray,Miami FL,31,21.8323,0.616501,Sr,2001-05-03,
Matthew Murrell,Mississippi,32,30.2625,7.0803,Sr,2001-12-19,
Byron Joshua,Albany,27,35.1138,-3.03535,Sr,2002-04-19,
Chase Martin,Missouri St.,30,23.0156,-4.48622,Sr,2001-11-23,
Petar Krivokapic,Pacific,31,26.6061,-3.17817,Sr,2000-09-14,
K.D. Johnson,George Mason,33,21.8735,1.47966,Sr,2001-05-25,
Grant Weitman,Arizona,12,1.7917,6.17873,Sr,2001-10-15,
Hunter Jack Madden,Abilene Christian,29,27.6750,-0.602594,Sr,2001-03-18,
Jacob Hutson,Northern Iowa,31,23.8031,0.613432,Sr,2002-08-02,
Kam Woods,Robert Morris,29,36.0767,-0.665308,Sr,2001-10-15,
Jackson Threadgill,Appalachian St.,26,22.8821,-2.13107,Sr,2001-10-15,
Zach Anderson,George Mason,35,21.6556,2.48299,Sr,2002-06-03,
Jake Evans,Northern Kentucky,2,3.6000,-20.2093,Sr,2001-10-15,
Trey Fort,Samford,31,24.5697,0.589737,Jr,2001-03-13,
Will Amica,Le Moyne,24,16.6120,-8.07542,Sr,2001-10-15,
Anthony Leal,Indiana,26,20.9692,7.43509,Sr,2001-05-12,
Dji Bailey,LSU,32,31.3906,3.41741,Sr,2002-05-19,
Adam Miller,Arizona St.,30,29.7133,3.37793,Sr,2002-01-23,
Dallion Johnson,Florida Gulf Coast,33,33.2529,-2.01061,Sr,2001-03-07,
Derrius Ward,Coppin St.,11,31.3455,-5.53578,Sr,2001-10-15,
Clifford Omoruyi,Alabama,37,19.1757,10.9688,Sr,2001-10-11,
Josh Gray,Missouri,33,15.5303,3.5884,Sr,2001-04-04,
Brandon Whitney,Montana,32,29.6229,0.829163,Sr,2001-10-15,
Henry Coleman III,Texas A&M,34,21.6559,5.9493,Sr,2002-05-08,
Jabri Abdur-Rahim,Providence,22,16.1545,2.60524,Sr,2002-03-22,
Jeremy Roach,Baylor,28,28.5310,0.742001,Sr,2001-11-01,
Tyrin Lawrence,Georgia,30,25.5200,2.86566,Sr,2000-11-01,
Ryan Myers,Western Illinois,28,32.4207,-7.61688,Sr,2001-10-15,
Truth Harris,Radford,31,22.1606,-0.21792,Sr,2001-10-15,
Andre Lorentsson,Toledo,32,13.1485,-3.80425,Sr,2001-02-24,
Alyn Breed,McNeese St.,2,29.9000,-2.54423,Sr,2001-07-07,
Koby Brea,Kentucky,36,28.0667,6.06502,Sr,2002-11-06,41
Hassan Diarra,Connecticut,35,27.8714,5.46411,Sr,2001-03-17,
Zarique Nutter,Georgia St.,29,26.4966,-3.27561,Sr,2001-10-15,
Luke Barrett,Saint Mary's,34,36.4800,6.09463,Sr,2001-09-25,
Jaron Rillie,Northern Colorado,32,32.5371,3.36871,Sr,2001-08-22,
Norchad Omier,Baylor,34,31.6857,8.59521,Sr,2001-08-28,
Jalen Myers,Norfolk St.,30,24.9871,1.48337,Sr,2001-11-12,
Grayson Walters,Samford,3,1.6600,-10.4089,Sr,2001-10-15,
Lamont Butler,Kentucky,27,25.9741,6.90585,Sr,2002-06-09,
Christian Fussell,Middle Tennessee,5,4.8571,-13.4535,Sr,2001-11-28,
Hunter Erickson,Utah,33,17.8273,2.01851,Sr,2001-10-15,
Tai'Reon Joseph,UTSA,19,23.5842,-1.34067,Jr,2001-10-15,
Ethan Morton,Colorado St.,35,23.5057,5.59214,Sr,2001-04-05,
Anthony Blunt,UMass Lowell,29,19.4719,-3.92078,Sr,2001-10-15,
Micah Peavy,Georgetown,32,36.9969,5.16434,Sr,2001-07-16,40
Siem Uijtendaal,Youngstown St.,31,16.3394,-2.62201,Sr,2001-05-05,
Ja'Von Benson,Mississippi,9,3.2333,-1.78684,Sr,2001-10-15,
Jefferson Koulibaly,Pacific,31,25.9242,-3.79209,Jr,2001-10-24,
Nehemiah Benson,Binghamton,28,24.6548,-2.36838,Sr,2002-01-19,
Xavier Bell,Wichita St.,33,28.3941,-1.37697,Sr,2002-04-04,
Baylor Hebb,UTEP,23,11.2231,-4.65093,Sr,2001-10-15,
Antwan Burnett,Grambling St.,25,30.4179,-3.67854,Jr,2001-10-15,
Kellen Amos,Rice,29,25.0767,-1.25384,Sr,2001-10-15,
Devin Tillis,UC Irvine,37,29.6947,5.8692,Sr,2001-12-22,
PJ Carter,Memphis,35,14.4143,-0.0562889,Sr,2001-10-07,
Nicholas Jourdain,Memphis,35,26.0886,5.83374,Sr,2001-06-29,
Zachary Visentin,Cal St. Fullerton,28,16.1533,-3.20415,Sr,2001-10-15,
David N'Guessan,Kansas St.,33,29.7182,7.64,Sr,2000-06-12,
Dante Maddox Jr.,Xavier,34,18.8882,4.93287,Sr,2002-01-15,
Henry Abraham,Coastal Carolina,29,15.0267,-5.46972,Sr,2001-10-15,
Carson Towt,Northern Arizona,30,33.6971,2.29446,Sr,2001-10-15,
Koby Jeffries,Illinois Chicago,22,9.1480,-7.18766,Sr,2001-02-13,
Zimi Nwokeji,Jacksonville,31,20.2212,-0.836056,Sr,2001-10-15,
Dishon Jackson,Iowa St.,35,18.7371,6.55182,Sr,2001-10-15,
Jyare Davis,Syracuse,33,24.6727,3.13069,Sr,2002-01-08,
Obinna Anochili-Killen,Marshall,30,26.2531,6.07645,Sr,2001-09-27,
David Early,Radford,28,16.9517,-2.88307,Sr,2001-09-06,
Ian Martinez,Utah St.,33,29.5235,4.40758,Sr,2001-07-24,
Marcus Watson Jr.,Jackson St.,19,14.7263,-5.30551,Jr,2004-10-14,
Jaden House,Rhode Island,30,27.4806,-3.21516,Sr,2001-11-16,
Zack Austin,Pittsburgh,32,32.1437,5.44963,Sr,2001-08-11,
Alex Holt,Mercer,31,26.7970,0.538793,Sr,2001-10-15,
Andrej Jakimovski,Colorado,34,28.3294,2.97087,Sr,2001-03-18,
Jaylon Gibson,Charleston Southern,11,16.0333,-6.24896,Sr,2001-10-15,
Ismael Plet,Robert Morris,33,16.1500,-1.94159,Sr,2001-12-15,
Cam Hayes,East Carolina,31,30.0667,-3.66137,Sr,2002-05-29,
Shakeel Moore,Kansas,20,13.8650,3.21282,Sr,2000-11-03,
A.J. Hoggard,Vanderbilt,32,26.0219,0.253504,Sr,2000-09-25,
Chibuzo Agbo,USC,33,32.2485,4.31083,Sr,2001-11-28,
Pavlo Dziuba,Eastern Washington,21,5.5391,-11.2039,Jr,2003-07-03,
Milton Matthews,Florida A&M,29,31.5548,-1.87945,Sr,2001-10-15,
Jarrett Hensley,Southern Illinois,31,25.2758,0.256554,Sr,2000-09-28,
Joe Munden Jr.,Northern Illinois,21,20.0750,-6.45962,Sr,2001-10-15,
Lincoln Ball,American,33,25.8114,0.0817452,Sr,2001-10-15,
Jared Garcia,Tulsa,17,17.3118,-1.17377,Sr,2001-10-15,
Trey Townsend,Arizona,35,21.0286,3.41972,Sr,2002-08-30,
Micah Parrish,Ohio St.,31,32.1000,4.11547,Sr,2001-02-17,
Connor Serven,Virginia Tech,16,2.6000,-7.04036,Sr,2002-05-17,
Tyler McGhie,UC San Diego,33,30.5143,1.97211,Sr,2001-02-07,
Khristian Lander,Western Kentucky,27,26.0000,1.77222,Sr,2002-09-09,
Sin'Cere McMahon,Norfolk St.,31,17.1294,-4.51463,Sr,2001-10-15,
Javonté Johnson,Cal Baptist,32,25.6531,0.996608,Sr,2001-10-15,
Nolan Dorsey,Campbell,30,32.2906,2.1704,Sr,2001-05-16,
Josh Massey,Stetson,30,25.0906,-3.10017,Sr,2001-10-15,
Evan Johnson,Maryland Eastern Shore,22,31.1320,-3.64434,Sr,2001-03-12,
"Jamal Mashburn, Jr.",Temple,22,35.9348,-2.44504,Sr,2001-09-29,
Hunter Dickinson,Kansas,34,30.1529,8.85051,Sr,2000-11-25,
Amari Williams,Kentucky,36,22.7583,9.11998,Sr,2002-01-28,46
Johnell Davis,Arkansas,34,31.7353,3.35312,Sr,2001-05-23,
Niels Lane,Delaware,31,30.3455,-2.82417,Sr,2001-10-08,
Ahron Ulis,Nebraska,31,11.1613,-0.344955,Sr,2001-10-04,
Kellen Tynes,Maine,32,33.4235,3.73138,Sr,2001-10-15,
Jalen Celestine,Baylor,30,24.9806,3.73378,Sr,2001-12-20,
Alem Huseinovic,Rice,30,25.7194,-0.388999,Sr,2002-01-16,
JaKobe Coles,Grand Canyon,33,28.4029,4.39667,Sr,2001-05-16,
Emory Lanier,Rice,29,17.5733,-1.38258,Sr,2001-10-15,
Connor Linke,Bradley,8,4.0000,-8.06034,Sr,2002-07-05,
Darius Hannah,Bradley,35,28.9778,3.54259,Sr,2002-08-05,
Mykell Robinson,Fresno St.,17,33.5471,-4.08671,Jr,2001-10-15,
Viktor Rajković,Seattle,17,9.6053,-1.4638,Sr,2001-10-15,
Kobe Sanders,Nevada,33,31.6818,4.41552,Sr,2002-05-30,50
Dionte Bostick,New Mexico St.,29,22.4406,1.26462,Jr,2001-05-10,
Howie Fleming Jr.,UT Rio Grande Valley,27,26.6452,0.911637,Sr,2001-10-15,
Dyson Koehler,Weber St.,20,30.5045,-3.12895,Sr,2001-10-15,
Alston Andrews,Delaware St.,26,23.4433,-2.27895,Jr,2001-10-15,
"Sam Hines, Jr.",Southeastern Louisiana,30,33.2938,1.14396,Sr,2002-03-26,
Derek Fountain,LSU,24,14.5083,-0.77292,Sr,2002-07-12,
Myles Stute,South Carolina,14,24.8000,1.10303,Sr,2001-10-15,
Delaney Heard,Kennesaw St.,29,13.8844,-2.71952,Sr,2001-12-22,
Puff Johnson,Penn St.,17,23.2471,6.38463,Sr,2000-10-11,
Joe Bamisile,VCU,34,26.6743,3.19965,Sr,2001-12-23,
Taelon Peter,Liberty,32,,7.20552,Sr,2002-02-27,
Darius Maddox,George Mason,34,32.5400,3.11199,Sr,2001-10-15,
Davonte Davis,Oklahoma St.,27,13.5889,-1.00173,Sr,2001-09-24,
Trace Young,LSU,9,1.2444,-14.9155,Sr,2001-07-09,
Isaiah Rivera,DePaul,34,27.6912,3.1125,Sr,2001-09-24,
Dre Davis,Mississippi,34,25.9794,5.90773,Sr,2001-08-23,
Bradley Colbert,Xavier,3,2.2333,5.03038,Sr,2001-08-04,
JJ Traynor,DePaul,32,17.4969,2.31265,Sr,2001-10-15,
Matteo Picarelli,Temple,25,10.8038,-4.04731,Sr,2001-05-26,
Devontae Blanton,Eastern Kentucky,30,34.5562,-1.54618,Sr,2001-12-06,
Selton Miguel,Maryland,36,28.2361,4.92405,Jr,2000-10-24,
Tyler Brelsford,Morehead St.,29,28.4375,-2.78198,Sr,2001-10-15,
Supreme Cook,Oregon,32,10.9719,-1.55289,Sr,2001-10-15,
Tony Perkins,Missouri,32,23.2250,4.91562,Sr,2001-12-04,
Jamahri Harvey,Presbyterian,29,26.1187,-5.25618,Sr,2001-10-15,
Duke Miles,Oklahoma,34,24.6529,6.31565,Sr,2002-02-03,
Jaden Seymour,East Tennessee St.,28,30.1033,0.925312,Sr,2002-05-23,
Jordan Geronimo,Maryland,30,9.7800,9.31406,Sr,2001-12-05,
Max Brooks,UMass Lowell,29,30.3219,4.44136,Sr,2001-10-15,
Chris Youngblood,Alabama,28,25.3107,6.6644,Sr,2002-02-09,
Terrance Williams II,USC,7,32.0000,5.09895,Sr,2000-12-01,
Lamar Oden Jr.,Charleston Southern,29,32.8677,-1.43615,Sr,2001-10-15,
Zeb Jackson,VCU,29,22.5800,4.3244,Sr,2001-11-14,
John Mikey Square,Cal St. Fullerton,19,21.4762,1.53739,Sr,2001-10-15,
Christian Turner,Texas St.,23,26.4440,0.965204,Sr,2001-09-20,
Nick Boyd,San Diego St.,30,29.8774,3.37849,Sr,2001-04-23,
Tyler Patterson,Montana St.,31,23.8563,0.680008,Sr,2001-10-15,
Ray'Sean Taylor,SIU Edwardsville,31,32.3000,2.77934,Sr,2001-10-15,
Trey Bonham,Chattanooga,36,30.7579,1.626,Sr,2002-04-14,
Dwayne Koroma,Le Moyne,29,28.3387,-0.297422,Jr,2001-04-28,
Dylan Branson,Bellarmine,9,22.3364,-3.92251,Sr,2001-10-21,
DJ Nussbaum,Eastern Kentucky,21,5.1261,-4.64838,Sr,2001-10-15,
Bryce Johnson,Sacred Heart,32,23.4219,-0.531077,Sr,2001-10-15,
Max Shulga,VCU,34,32.7971,8.54062,Sr,2002-06-25,57
Grant Nelson,Alabama,37,25.3892,7.55807,Sr,2002-03-18,
Jaylin Jackson-Posey,Texas Southern,26,18.8172,-2.74606,Jr,2001-10-15,
Jayson Kent,Texas,27,17.1778,2.19867,Sr,2002-02-03,
Jamal West Jr.,Nicholls St.,29,26.3594,3.9858,Sr,2001-10-15,
AJ McGinnis,Wichita St.,33,14.2676,-1.58346,Sr,2001-10-15,
JaCobi Wood,Murray St.,31,36.9000,-0.568584,Sr,2002-05-24,
Andre Weir,Kennesaw St.,19,14.8818,4.89177,Sr,2001-08-10,
Kadary Richmond,St. John's,36,32.3194,8.23788,Sr,2001-08-25,
Even Brauns,Iowa,26,8.7846,5.18691,Sr,2001-10-15,
Cameron Sheffield,Duke,13,2.3000,-0.531559,Jr,2001-10-15,
Hollman Smith,Vanderbilt,6,1.5500,-14.2259,Sr,2001-10-15,
Kendal Coleman,Cal Baptist,32,26.0250,0.131532,Sr,2002-08-21,
Kerwin Walton,Texas Tech,37,18.5946,3.5893,Sr,2001-10-20,
Dwon Odom,Tulsa,31,31.2848,2.38689,Sr,2000-11-08,
Jhaylon Martinez,Niagara,30,20.8677,-4.84267,Sr,2001-12-06,
Tre Coleman,Nevada,24,28.3125,0.881188,Sr,2001-10-15,
Marcus Williams,San Francisco,30,30.8355,6.32542,Sr,2002-07-29,
Ronald Polite III,UNC Greensboro,25,29.1148,2.08206,Sr,2002-03-18,
Adetokunbo Bakare,Saint Peter's,25,14.7346,-0.964122,Sr,2001-10-15,
Mekhi Gray,UMass Lowell,7,10.1100,-8.34989,Sr,2001-10-15,
Dalton Banks,Illinois St.,35,30.3472,1.97748,Sr,2001-10-10,
Andre Curbelo,Southern Miss,18,24.2700,-2.74184,Sr,2001-10-13,
Will Pruitt,Lipscomb,33,32.2514,1.94929,Sr,2001-11-02,
Townsend Tripple,BYU,5,1.5200,0.0627418,So,2001-10-15,
Corey Walker Jr.,South Florida,10,6.6500,-7.73452,Sr,2002-03-12,
Jadrian Tracey,Oregon,35,21.2914,5.15225,Sr,2001-10-15,
Vladislav Goldin,Michigan,37,27.5514,7.01545,Sr,2001-05-12,
Seryee Lewis,Western Michigan,26,7.1333,-10.6148,So,2001-10-15,
Rongie Gordon,Kennesaw St.,30,23.7667,4.63478,Jr,2001-10-24,
Caleb Lohner,Utah,22,9.8909,-1.58767,Sr,2001-10-01,
Otis Frazier III,UTEP,30,29.2455,5.61976,Sr,2001-01-16,
Kaleb Scott,Presbyterian,30,25.0424,-3.45233,Sr,2002-05-23,
Nana Antwi-Boasiako,Stephen F. Austin,28,25.0645,1.82384,Sr,2002-04-01,
Isaac Lindsey,South Dakota St.,25,13.8185,-3.68956,Sr,2001-05-18,
Noah Taitz,Utah Valley,25,9.9963,-1.12931,Jr,2001-02-16,
Marcellus Brigham Jr,Jacksonville St.,33,25.7139,0.293559,Sr,2001-11-07,
Jacob Ognacevic,Lipscomb,33,33.7371,0.88848,Sr,2002-01-29,
Brandon Angel,Oregon,35,22.8800,4.02873,Sr,2001-10-27,
Sheldon Edwards Jr.,Loyola Chicago,36,27.8459,2.33895,Sr,2000-08-13,
Gediminas Mokseckas,Campbell,14,4.7937,-9.9926,Sr,2000-11-07,
Kobe Williamson,Seattle,20,23.1700,4.1614,Sr,2001-08-24,
Justin Amadi,Tulsa,27,16.5071,-2.78888,Jr,2001-10-15,
Isaiah Richards,Gardner Webb,31,21.9290,1.98432,Sr,2001-02-04,
Quinn Strander,Nicholls St.,3,10.0250,-8.88828,Sr,2001-07-31,
Mylyjael Poteat,Virginia Tech,31,21.7871,1.1963,Sr,2002-01-10,
Ileri Ayo-Faleye,Vermont,31,30.0485,2.13916,Sr,2001-10-15,
Caden Boser,Illinois St.,34,12.3886,-0.555637,Jr,2001-10-15,
Szymon Zapala,Michigan St.,36,14.1278,8.06184,Sr,2001-05-09,
Kenny White Jr.,Morehead St.,27,28.6967,-1.43838,Sr,2001-11-13,
Austin Harvell,Alabama A&M,7,4.3000,-13.6465,Sr,2002-06-29,
Kiyron Powell,Western Illinois,16,4.9368,-3.56049,Jr,2001-10-15,
Daniel Batcho,Louisiana Tech,29,27.5250,3.87831,Sr,2002-01-10,
Tibet Gorener,SMU,30,7.8467,0.0762417,Sr,2002-07-27,
Max Klesmit,Wisconsin,33,27.6061,4.09286,Sr,2002-06-09,
Sam Godwin,Oklahoma,30,19.0733,6.14757,Sr,2001-08-28,
Nick Pringle,South Carolina,32,24.5594,3.26456,Sr,2001-09-16,
Kerr Kriisa,Kentucky,9,17.4444,3.272,Sr,2001-01-02,
Luke Champion,Arizona,9,1.5222,-8.37589,Sr,2001-10-15,
Kyler Filewich,Wofford,33,26.9914,4.36854,Sr,2001-07-25,
